Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,30,0.9,0.00388332689809634,0.009827436002910805,0.005,0
pareto,30,0.9,0.005120345744758304,0.008057783709826745,0.005,1
pareto,30,0.9,0.004270213335673523,0.009338558834213952,0.005,2
pareto,30,0.9,0.00048657783560042135,0.004980818583489408,0.005,3
pareto,30,0.9,0.00021335516327236626,0.0073097653088730835,0.005,4
pareto,30,0.9,0.0008797860852606033,0.00730199327445756,0.005,5
pareto,30,0.9,0.004091155359688204,0.008395491320608338,0.005,6
pareto,30,0.9,0.0008726815750029204,0.004701950521463844,0.005,7
pareto,30,0.9,0.003282806963309326,0.0050718397345687624,0.005,8
pareto,30,0.9,0.005759225071760899,0.010405192741076957,0.005,9
pareto,30,0.9,0.0008740450348426077,0.00614959113780521,0.005,10
pareto,30,0.9,0.0011941647755785657,0.005120501416141588,0.005,11
pareto,30,0.9,0.0015777174824751494,0.005052415764393606,0.005,12
pareto,30,0.9,0.0030266190545740605,0.011817655358180001,0.005,13
pareto,30,0.9,0.0029093655394496045,0.007095586156236894,0.005,14
pareto,30,0.9,0.0012579109155303582,0.005684026605489265,0.005,15
pareto,30,0.9,0.0018257691254196518,0.005292027549549905,0.005,16
pareto,30,0.9,0.0031399206904803023,0.008362332493251103,0.005,17
pareto,30,0.9,0.0039940330357253195,0.007482911011390048,0.005,18
pareto,30,0.9,0.0035353214557683806,0.0064421160101752525,0.005,19
pareto,30,0.9,0.002379123825228913,0.007627763138865155,0.005,20
pareto,30,0.9,0.0014171117964186576,0.006360221781405492,0.005,21
pareto,30,0.9,0.0051673738352866075,0.00853145458200165,0.005,22
pareto,30,0.9,0.0024647552146459754,0.004278402846878152,0.005,23
pareto,30,0.9,0.0028790807089350114,0.004517295827840499,0.005,24
pareto,30,0.9,0.003743466124003714,0.009070181289250714,0.005,25
pareto,30,0.9,0.000831579414998429,0.0034922896535565366,0.005,26
pareto,30,0.9,0.00266515477593563,0.008366824241734476,0.005,27
pareto,30,0.9,0.0010459152772169429,0.006535167201766944,0.005,28
pareto,30,0.9,0.003362480059794226,0.0057311544073167546,0.005,29
pareto,30,0.9,0.003164654722767579,0.006146915267507342,0.005,30
pareto,30,0.9,0.005335631224073955,0.008134786081963868,0.005,31
pareto,30,0.9,0.0011103038696048451,0.005766294964373273,0.005,32
pareto,30,0.9,0.003589806379122207,0.007012700315786983,0.005,33
pareto,30,0.9,0.004699421233976575,0.00748525035460878,0.005,34
pareto,30,0.9,0.004422828176632124,0.006952376095525941,0.005,35
pareto,30,0.9,0.001917507799579395,0.00589153151810968,0.005,36
pareto,30,0.9,0.0019125879350581076,0.005352782638882923,0.005,37
pareto,30,0.9,0.006898488060011491,0.012439735559720735,0.005,38
pareto,30,0.9,0.00378763713916932,0.0077612498192874925,0.005,39
pareto,30,0.9,0.001250141045083919,0.004135313703643674,0.005,40
pareto,30,0.9,0.00428232316123629,0.007483301355820364,0.005,41
pareto,30,0.9,0.003599799688247433,0.006643603143983994,0.005,42
pareto,30,0.9,0.004080783944069077,0.006534742902098285,0.005,43
pareto,30,0.9,0.0006461728226565101,0.007666145919974574,0.005,44
pareto,30,0.9,4.033960054883323e-09,0.004426510117698146,0.005,45
pareto,30,0.9,0.0016108365869300645,0.002486852614898535,0.005,46
pareto,30,0.9,0.0032802134449663625,0.0087861201096873,0.005,47
pareto,30,0.9,0.0008617299960274308,0.007239095599087259,0.005,48
pareto,30,0.9,0.003901100477579522,0.007987631072385886,0.005,49
pareto,30,0.9,0.0012772819144738527,0.00459202273458858,0.005,50
pareto,30,0.9,4.268688342490279e-06,0.007495020169105526,0.005,51
pareto,30,0.9,0.0034745745229281424,0.006089390698650847,0.005,52
pareto,30,0.9,0.0005455664734012267,0.007203552864661641,0.005,53
pareto,30,0.9,0.0007292087968943762,0.009632713302499818,0.005,54
pareto,30,0.9,0.004039368868628693,0.006560140064285878,0.005,55
pareto,30,0.9,0.0015163043878961614,0.0066292399427938745,0.005,56
pareto,30,0.9,0.004158247184466557,0.006513316565694532,0.005,57
pareto,30,0.9,0.0019044233988583237,0.008380024663340311,0.005,58
