Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,30,0.9,0.0005546881757106565,0.005091984830104759,0.005,0
lognorm,30,0.9,0.00014967393911033967,0.003888221186919678,0.005,1
lognorm,30,0.9,0.0062957782413788806,0.01078579026891956,0.005,2
lognorm,30,0.9,0.0004660571760586392,0.0055754983162486504,0.005,3
lognorm,30,0.9,0.003382712792101916,0.00582969566217026,0.005,4
lognorm,30,0.9,0.00429069991323403,0.007372146944023161,0.005,5
lognorm,30,0.9,0.0020491384735814577,0.0070029169870843245,0.005,6
lognorm,30,0.9,0.00255572394283808,0.0057116163660844875,0.005,7
lognorm,30,0.9,0.0030941830944650897,0.0058030326847657646,0.005,8
lognorm,30,0.9,0.0005676081277352197,0.007500907971364775,0.005,9
lognorm,30,0.9,0.0029701239612785553,0.008726323824042256,0.005,10
lognorm,30,0.9,0.005208922391228499,0.01612551248699869,0.005,11
lognorm,30,0.9,0.003508625429297518,0.0058149083166948185,0.005,12
lognorm,30,0.9,0.002521909422908042,0.005880306969836462,0.005,13
lognorm,30,0.9,0.003996135996820312,0.007875203985454196,0.005,14
lognorm,30,0.9,0.0017419791545437936,0.006391672775651871,0.005,15
lognorm,30,0.9,0.00010557540868912547,0.002862141007742537,0.005,16
lognorm,30,0.9,0.0034953529786998505,0.008192100375973059,0.005,17
lognorm,30,0.9,0.005268606371902785,0.010008872080604483,0.005,18
lognorm,30,0.9,0.001274242673359094,0.005801724138569775,0.005,19
lognorm,30,0.9,0.005363182179402288,0.008754901024192322,0.005,20
lognorm,30,0.9,0.002775491090530794,0.006461256428721889,0.005,21
lognorm,30,0.9,0.0011387414971615476,0.0016184909327504914,0.005,22
lognorm,30,0.9,0.0029814787988764915,0.04333591659068491,0.005,23
lognorm,30,0.9,0.004250336440200053,0.007180775777942246,0.005,24
lognorm,30,0.9,0.000570362513995093,0.01297819131649519,0.005,25
lognorm,30,0.9,0.003698671569393741,0.005795123947808682,0.005,26
lognorm,30,0.9,0.003479743177141481,0.006728004493382464,0.005,27
lognorm,30,0.9,0.0005180958641355371,0.003985866513492175,0.005,28
lognorm,30,0.9,0.0007288634059588351,0.004883245098408419,0.005,29
lognorm,30,0.9,0.005544011698812801,0.009339058241702832,0.005,30
lognorm,30,0.9,0.0011464097560977104,0.009834984010293282,0.005,31
lognorm,30,0.9,0.0025931015176575995,0.005245821726018349,0.005,32
lognorm,30,0.9,0.0007297393181206147,0.004488598135676246,0.005,33
lognorm,30,0.9,0.004668514565992776,0.00791606642891978,0.005,34
lognorm,30,0.9,0.0026602455490965407,0.0067746957599221,0.005,35
lognorm,30,0.9,0.0015952427123322455,0.005856767148815748,0.005,36
lognorm,30,0.9,0.0036752432443605152,0.006134897937234409,0.005,37
lognorm,30,0.9,0.00026306126282094056,0.005826796890817968,0.005,38
lognorm,30,0.9,0.004397138596882695,0.007085644914091065,0.005,39
lognorm,30,0.9,0.0024470377632108244,0.006240119838052096,0.005,40
lognorm,30,0.9,0.004278128121841691,0.006968674928299736,0.005,41
lognorm,30,0.9,0.0032012173886218757,0.006181441863033576,0.005,42
lognorm,30,0.9,0.0,0.0,0.005,43
lognorm,30,0.9,0.0029905482407053263,0.004935573440382005,0.005,44
lognorm,30,0.9,0.00369338955435049,0.005645559555057833,0.005,45
lognorm,30,0.9,0.00022756209897101254,0.0030823652705457573,0.005,46
lognorm,30,0.9,0.004144266238685845,0.010790714240949621,0.005,47
lognorm,30,0.9,0.0011485174899121375,0.006139884096740211,0.005,48
lognorm,30,0.9,5.322313540360168e-05,0.009112338465889127,0.005,49
lognorm,30,0.9,0.00039797893280457686,0.0061712855620601696,0.005,50
lognorm,30,0.9,0.004340194289417454,0.007524045087328832,0.005,51
lognorm,30,0.9,0.0020499241933481295,0.007758215703429857,0.005,52
lognorm,30,0.9,0.003124200496158247,0.005360506927522466,0.005,53
lognorm,30,0.9,0.001010062668468459,0.006058490066702416,0.005,54
lognorm,30,0.9,0.0009481385099751716,0.006268675940589478,0.005,55
lognorm,30,0.9,0.004838310358202636,0.007448818172948959,0.005,56
lognorm,30,0.9,0.0017251874699882209,0.005108342246234181,0.005,57
lognorm,30,0.9,0.0029844707591394903,0.00702033724339086,0.005,58
lognorm,30,0.9,0.0024060141816786874,0.006119382217889128,0.005,59
lognorm,30,0.9,0.0006522050538080304,0.004411438240806077,0.005,60
lognorm,30,0.9,0.0,0.0,0.005,61
lognorm,30,0.9,0.0056311851878220855,0.009191436033413667,0.005,62
lognorm,30,0.9,0.0013263552059368984,0.004488845685613742,0.005,63
lognorm,30,0.9,0.0009403890445952801,0.0052872804932514094,0.005,64
lognorm,30,0.9,0.0012832434463534881,0.008632392378605568,0.005,65
lognorm,30,0.9,0.001216048150010174,0.005916978401184328,0.005,66
lognorm,30,0.9,0.0007724281301993764,0.006679196397841574,0.005,67
lognorm,30,0.9,0.00033677388424822044,0.003493931326294717,0.005,68
lognorm,30,0.9,0.0,0.0,0.005,69
lognorm,30,0.9,0.003102474837941083,0.006356658438228428,0.005,70
lognorm,30,0.9,0.0022748749540920875,0.009881464608205805,0.005,71
lognorm,30,0.9,0.003377595905961206,0.005492035764097336,0.005,72
lognorm,30,0.9,0.004131891229425484,0.006532781699830018,0.005,73
lognorm,30,0.9,0.004144531005201846,0.006777993737158542,0.005,74
lognorm,30,0.9,0.0020474260310791694,0.004694691389237343,0.005,75
lognorm,30,0.9,0.00029677393377689485,0.007205462344566168,0.005,76
lognorm,30,0.9,0.005322573746864789,0.012252252023625385,0.005,77
lognorm,30,0.9,0.0005460156260799209,0.010067043702326006,0.005,78
lognorm,30,0.9,0.004504623866704638,0.009457921982173833,0.005,79
lognorm,30,0.9,0.0014997704914283983,0.007977535623123685,0.005,80
lognorm,30,0.9,0.000611037245536883,0.007727535489547218,0.005,81
lognorm,30,0.9,0.0012506525767961296,0.006990396545867519,0.005,82
lognorm,30,0.9,0.0005298077794145151,0.0047453725037950424,0.005,83
lognorm,30,0.9,0.004486405177755781,0.007814452033698748,0.005,84
lognorm,30,0.9,0.003098636291594159,0.004776722300125319,0.005,85
lognorm,30,0.9,0.0006760115698930314,0.006325395365312479,0.005,86
lognorm,30,0.9,0.0011519130207660489,0.007526812880512712,0.005,87
lognorm,30,0.9,0.0052215846518026245,0.00928300578648556,0.005,88
lognorm,30,0.9,0.0011893918955820555,0.005675340850584091,0.005,89
lognorm,30,0.9,0.002501157923341172,0.0058286886987168164,0.005,90
lognorm,30,0.9,0.00237613449670665,0.006625311612259371,0.005,91
lognorm,30,0.9,0.002663971392290776,0.005630918711323938,0.005,92
lognorm,30,0.9,0.006406404808335786,0.010315457806557755,0.005,93
lognorm,30,0.9,0.0004968121770173361,0.003748124844743963,0.005,94
lognorm,30,0.9,0.0034840100239337626,0.005249590780465361,0.005,95
lognorm,30,0.9,0.0,0.0,0.005,96
lognorm,30,0.9,0.00418422016718395,0.007099259088964043,0.005,97
lognorm,30,0.9,0.0037862231749427044,0.010255380370485507,0.005,98
lognorm,30,0.9,0.0006846830107554158,0.006447506006442473,0.005,99
lognorm,30,0.9,0.0,0.0,0.005,100
lognorm,30,0.9,0.003711759186158137,0.007865731827276469,0.005,101
lognorm,30,0.9,0.004431523557390227,0.00822225961698384,0.005,102
lognorm,30,0.9,0.004627814206010449,0.007517422788565025,0.005,103
lognorm,30,0.9,0.001829776544453976,0.008761431052275689,0.005,104
lognorm,30,0.9,0.006736266884491648,0.011631065140368303,0.005,105
lognorm,30,0.9,0.002238139098477765,0.00598603220309466,0.005,106
lognorm,30,0.9,0.000851572761614472,0.004867171641969195,0.005,107
lognorm,30,0.9,0.001831786783268008,0.007721134300977877,0.005,108
lognorm,30,0.9,0.0007318424803099077,0.006635454527246637,0.005,109
lognorm,30,0.9,0.0046915820036976365,0.01012600501400424,0.005,110
lognorm,30,0.9,0.004594835344632756,0.007945449674723885,0.005,111
lognorm,30,0.9,0.0035914556076091842,0.007208028109802702,0.005,112
lognorm,30,0.9,0.005581374128413597,0.009397637922045664,0.005,113
lognorm,30,0.9,0.0010798741876345997,0.007216928311069494,0.005,114
lognorm,30,0.9,0.0,0.0,0.005,115
lognorm,30,0.9,0.0017922784900559281,0.006465920656236657,0.005,116
lognorm,30,0.9,0.0012391080075593753,0.007353769240148684,0.005,117
lognorm,30,0.9,0.0036571821956416506,0.0062786919530077034,0.005,118
lognorm,30,0.9,0.0009924180125155946,0.004056166152839683,0.005,119
lognorm,30,0.9,0.0020125334424637487,0.00825946536602258,0.005,120
lognorm,30,0.9,0.004577259268815493,0.007295503939839341,0.005,121
lognorm,30,0.9,0.004834829782242523,0.008539300724806994,0.005,122
lognorm,30,0.9,0.000421551348633864,0.004155084086369917,0.005,123
lognorm,30,0.9,0.0037637482591030835,0.0068531710225054575,0.005,124
lognorm,30,0.9,0.002133314573605372,0.004728633933460012,0.005,125
lognorm,30,0.9,0.0030841708124935696,0.006413790344753252,0.005,126
lognorm,30,0.9,0.0050773577252383635,0.008075514840732162,0.005,127
lognorm,30,0.9,0.0009734335578286846,0.006079434657135409,0.005,128
lognorm,30,0.9,0.0016288047370163206,0.00728152367378059,0.005,129
lognorm,30,0.9,0.0004291772819822626,0.00540368297177552,0.005,130
lognorm,30,0.9,0.001438319334893956,0.005219400968981647,0.005,131
lognorm,30,0.9,0.0005851957532567731,0.004713849005158298,0.005,132
lognorm,30,0.9,0.0033615322756345824,0.0060112826907299756,0.005,133
lognorm,30,0.9,0.0012577311635644684,0.006921976228411995,0.005,134
lognorm,30,0.9,0.0008355826815782841,0.006315519812494348,0.005,135
