Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,30,0.6,0.0010159429804098342,0.019899739912420247,0.005,0
pareto,30,0.6,0.004700496640663233,0.008490349795853636,0.005,1
pareto,30,0.6,0.0036021541565850247,0.011139027896869803,0.005,2
pareto,30,0.6,0.001270184818553144,0.006847359582913004,0.005,3
pareto,30,0.6,0.000316426636853473,0.010239077778592698,0.005,4
pareto,30,0.6,0.001306147678700409,0.009355259967838281,0.005,5
pareto,30,0.6,0.0029200070178359906,0.009953478140170492,0.005,6
pareto,30,0.6,0.0008543594009660094,0.005535940383053273,0.005,7
pareto,30,0.6,0.001632383095626544,0.006555375510977246,0.005,8
pareto,30,0.6,0.004713659777201774,0.011404465329911906,0.005,9
pareto,30,0.6,0.0018647697955136433,0.007316481464870606,0.005,10
pareto,30,0.6,0.0015983544118677974,0.005766020880512457,0.005,11
pareto,30,0.6,0.001864557753384899,0.0060968856178458715,0.005,12
pareto,30,0.6,0.001724998942919065,0.019538944751303734,0.005,13
pareto,30,0.6,0.0028179594406563704,0.008324067231518484,0.005,14
pareto,30,0.6,0.002110553548885985,0.006832897319748632,0.005,15
pareto,30,0.6,0.0007814133037917337,0.006663829978128844,0.005,16
pareto,30,0.6,0.003465336981041345,0.009616937711317153,0.005,17
pareto,30,0.6,0.003468183662326663,0.00858946550391,0.005,18
pareto,30,0.6,0.002369983331389758,0.00850707759802738,0.005,19
pareto,30,0.6,0.0022990473964581873,0.010602690719762498,0.005,20
pareto,30,0.6,0.002287417685962101,0.007716413110696952,0.005,21
pareto,30,0.6,0.002751637743435431,0.009811704778926079,0.005,22
pareto,30,0.6,0.0021275716675943634,0.007039640345936827,0.005,23
pareto,30,0.6,0.002779614083545656,0.007474480335390599,0.005,24
pareto,30,0.6,0.0034038354987471655,0.010947087942368584,0.005,25
pareto,30,0.6,0.0008133719264598938,0.003398921781682551,0.005,26
pareto,30,0.6,0.0028019134865144403,0.01076162620038259,0.005,27
pareto,30,0.6,0.001028595557868206,0.01057412374878477,0.005,28
pareto,30,0.6,0.0020361830910860415,0.007242448255152212,0.005,29
pareto,30,0.6,0.0027954130237406896,0.007335014319966327,0.005,30
pareto,30,0.6,0.005058096999193174,0.010943219496839697,0.005,31
pareto,30,0.6,0.0017502060727509596,0.0071858039296039955,0.005,32
pareto,30,0.6,0.00192005233242174,0.009695454854609587,0.005,33
pareto,30,0.6,0.0032985537187444347,0.010253625241074805,0.005,34
pareto,30,0.6,0.0029581197714533937,0.008102147123655845,0.005,35
pareto,30,0.6,0.001885207226541752,0.007614690077973974,0.005,36
pareto,30,0.6,0.0026045035517543447,0.007074496520637741,0.005,37
pareto,30,0.6,0.005003551282291108,0.013934750993701873,0.005,38
pareto,30,0.6,0.003101313395332506,0.009240869641691952,0.005,39
pareto,30,0.6,0.001578811859038476,0.005215204018163089,0.005,40
pareto,30,0.6,0.003736224628988083,0.008260574252230769,0.005,41
pareto,30,0.6,0.0026504331990721665,0.007983624208182594,0.005,42
pareto,30,0.6,0.002551559923622415,0.008386012613618422,0.005,43
pareto,30,0.6,0.0011849697652008386,0.04673117228708623,0.005,44
pareto,30,0.6,2.7734089822484265e-05,0.003898918887177505,0.005,45
pareto,30,0.6,0.001345826534674055,0.004972291543769903,0.005,46
pareto,30,0.6,0.0034648909987527346,0.010549001768925682,0.005,47
pareto,30,0.6,0.0012090266716804354,0.010950958136369683,0.005,48
pareto,30,0.6,0.0027736571847079895,0.009883075441734501,0.005,49
pareto,30,0.6,0.001624366037292635,0.005545514085554527,0.005,50
pareto,30,0.6,0.0,0.0,0.005,51
pareto,30,0.6,0.0026392582472562157,0.007270009285810453,0.005,52
pareto,30,0.6,0.0008449024621510759,0.012070384628194698,0.005,53
pareto,30,0.6,0.001008210636143092,0.028712507786048436,0.005,54
pareto,30,0.6,0.0017213665618268426,0.008169774307390831,0.005,55
pareto,30,0.6,0.0021206866006673766,0.009349488905697801,0.005,56
pareto,30,0.6,0.0029707021853541352,0.00838794898675137,0.005,57
pareto,30,0.6,0.0030285222859095296,0.009733281863227194,0.005,58
pareto,30,0.6,0.0024722656683056955,0.007452407980236941,0.005,59
pareto,30,0.6,0.0036334634907998265,0.00830832368494483,0.005,60
pareto,30,0.6,0.003015952632450603,0.009120512886692111,0.005,61
pareto,30,0.6,0.00234072813529016,0.011237572993843826,0.005,62
pareto,30,0.6,0.0016038859366375392,0.009118561403867754,0.005,63
pareto,30,0.6,0.00046000968005071034,0.00785890241222309,0.005,64
pareto,30,0.6,0.001560318001832961,0.009577305606900621,0.005,65
pareto,30,0.6,0.006640585376082875,0.011258456252585793,0.005,66
pareto,30,0.6,0.0032457734592288737,0.008828280730149985,0.005,67
pareto,30,0.6,0.003693941688623248,0.008347400826217965,0.005,68
pareto,30,0.6,0.0023274834960114177,0.007876235105938711,0.005,69
pareto,30,0.6,0.0010785325588553274,0.004708147117988126,0.005,70
pareto,30,0.6,0.0027267978888773307,0.008477797241938135,0.005,71
pareto,30,0.6,0.002603909808009819,0.012193163254328133,0.005,72
pareto,30,0.6,0.002222315131559105,0.017071039085690475,0.005,73
pareto,30,0.6,0.0033419703941907743,0.008385803454830133,0.005,74
pareto,30,0.6,0.0011410533565684668,0.00716264631786534,0.005,75
pareto,30,0.6,0.0005420449296697161,0.00548750246965164,0.005,76
pareto,30,0.6,0.001583946147316473,0.0059965740765406395,0.005,77
pareto,30,0.6,0.0,0.0,0.005,78
pareto,30,0.6,0.003956906870927624,0.008463193788249513,0.005,79
pareto,30,0.6,0.001892675130204369,0.008763798397074663,0.005,80
pareto,30,0.6,0.004352418527676161,0.008613996610300712,0.005,81
pareto,30,0.6,0.0,0.0,0.005,82
pareto,30,0.6,0.0014847857235410268,0.005051711522590097,0.005,83
pareto,30,0.6,0.0009673831870012251,0.006448722545700081,0.005,84
pareto,30,0.6,0.0016170265467146728,0.009492195074239618,0.005,85
pareto,30,0.6,0.0030571953253651254,0.009641965564793242,0.005,86
pareto,30,0.6,0.0031545371065893504,0.010741775270511678,0.005,87
pareto,30,0.6,0.0016947557725675022,0.009103409721097133,0.005,88
pareto,30,0.6,0.008106435244806942,0.014167750331735496,0.005,89
pareto,30,0.6,0.0016408944137863647,0.006128098068880839,0.005,90
pareto,30,0.6,0.006271378658547189,0.010528009186020128,0.005,91
pareto,30,0.6,0.0017077057262647078,0.004869918626632864,0.005,92
pareto,30,0.6,0.00011320167615944677,0.0037464328867261813,0.005,93
pareto,30,0.6,0.0021708151884358706,0.007442976961245052,0.005,94
pareto,30,0.6,0.0021420805904745154,0.009808940060696304,0.005,95
