Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0.6,0.0009401254695643236,0.00817377599264422,0.005,0
gamma,30,0.6,0.003923889336494746,0.007216724762791822,0.005,1
gamma,30,0.6,0.0007959723426397503,0.006342761562088573,0.005,2
gamma,30,0.6,0.002126103262600676,0.005901868412811586,0.005,3
gamma,30,0.6,3.017768785351649e-06,0.006335046358282543,0.005,4
gamma,30,0.6,0.0047932871309359195,0.00918660404932718,0.005,5
gamma,30,0.6,0.004464348287647635,0.008378636953136299,0.005,6
gamma,30,0.6,0.002371831893869869,0.01451075813184904,0.005,7
gamma,30,0.6,0.0009570112095744322,0.005982951011359234,0.005,8
gamma,30,0.6,0.0019112758062184378,0.006812813142852143,0.005,9
gamma,30,0.6,0.0020472018442691644,0.007651753460529749,0.005,10
gamma,30,0.6,0.00017788974619064037,0.013499719558581508,0.005,11
gamma,30,0.6,1.0863833011853786e-06,0.003957393446633207,0.005,12
gamma,30,0.6,0.0013464037571232269,0.008137338210180162,0.005,13
gamma,30,0.6,0.0013824783750100433,0.00573062571348663,0.005,14
gamma,30,0.6,0.0010287306896275884,0.005740831904516328,0.005,15
gamma,30,0.6,0.0014461118803470896,0.005573861569449464,0.005,16
gamma,30,0.6,0.0017011333051163203,0.00838225172148878,0.005,17
gamma,30,0.6,0.002376969330949308,0.0076636070622390804,0.005,18
gamma,30,0.6,0.0012201335326393005,0.006576857410681934,0.005,19
gamma,30,0.6,0.003059363335916299,0.008236146915672236,0.005,20
gamma,30,0.6,0.002273089213339841,0.0069809416689620395,0.005,21
gamma,30,0.6,0.0035865661683855965,0.006373245088218421,0.005,22
gamma,30,0.6,0.0027976711749107433,0.007292050188480515,0.005,23
gamma,30,0.6,0.0007884946578374131,0.0053232203032354585,0.005,24
gamma,30,0.6,0.002887501467240039,0.00900198798060098,0.005,25
gamma,30,0.6,0.001150208192529556,0.005577824074937547,0.005,26
gamma,30,0.6,0.0006211425125715487,0.007625732190652614,0.005,27
gamma,30,0.6,0.0033524995606801335,0.012922576717266928,0.005,28
gamma,30,0.6,0.003860082117483366,0.007431547939601577,0.005,29
gamma,30,0.6,0.004309837682643991,0.007276968928391945,0.005,30
gamma,30,0.6,0.0037075387937488104,0.0065991415378149326,0.005,31
gamma,30,0.6,0.0006945633676379349,0.009111037455155936,0.005,32
gamma,30,0.6,0.004513052850559962,0.009714030230332675,0.005,33
gamma,30,0.6,0.0023167604490812455,0.009099661550917395,0.005,34
gamma,30,0.6,0.0008912908841110401,0.0059500932873472155,0.005,35
gamma,30,0.6,0.0006448621975735591,0.004616616112671704,0.005,36
gamma,30,0.6,9.966101588432254e-09,0.00337549256130359,0.005,37
gamma,30,0.6,0.0007054168222501378,0.005163304450484178,0.005,38
gamma,30,0.6,0.0012371258982796008,0.006969061587609606,0.005,39
gamma,30,0.6,0.0008275453315545356,0.004785532082974494,0.005,40
gamma,30,0.6,0.0008901884498327295,0.0055143076468405165,0.005,41
gamma,30,0.6,0.0009669097241085112,0.004522540736035174,0.005,42
gamma,30,0.6,0.004771143009277568,0.008218315015065446,0.005,43
gamma,30,0.6,4.121699044139504e-05,0.0030337804009451827,0.005,44
gamma,30,0.6,2.736599582497945e-07,0.00760459423845521,0.005,45
gamma,30,0.6,0.001662216366576308,0.006396568465845693,0.005,46
gamma,30,0.6,0.0023705817133419685,0.006715919688706393,0.005,47
gamma,30,0.6,0.0011011837549989246,0.007575817494685363,0.005,48
gamma,30,0.6,0.0012416597996915526,0.006264089289031374,0.005,49
gamma,30,0.6,0.001739248271183591,0.01010901641720226,0.005,50
gamma,30,0.6,0.000372228688920373,0.0040867585469289616,0.005,51
gamma,30,0.6,0.0008909245622263029,0.0058666003769823,0.005,52
gamma,30,0.6,0.005023286833644881,0.009617624787798765,0.005,53
gamma,30,0.6,0.002591001189222331,0.00976253466691709,0.005,54
gamma,30,0.6,0.002999197993057168,0.0075729831882342166,0.005,55
gamma,30,0.6,0.0034288731365846206,0.0057932738255178536,0.005,56
gamma,30,0.6,0.000660901952441817,0.004757827102321932,0.005,57
gamma,30,0.6,0.002205820318842999,0.009758468822989693,0.005,58
gamma,30,0.6,0.0022122117943622842,0.007032330446201867,0.005,59
gamma,30,0.6,0.002679657858329643,0.0073539373291967094,0.005,60
gamma,30,0.6,0.0007406985339968308,0.005443659252120545,0.005,61
gamma,30,0.6,0.0013325694834414926,0.008279108125338629,0.005,62
gamma,30,0.6,0.0023779533676536514,0.005152233933113635,0.005,63
gamma,30,0.6,0.0025902680304602747,0.007969792607316326,0.005,64
gamma,30,0.6,0.002440234693434551,0.007117725987327441,0.005,65
gamma,30,0.6,0.0010976743284280665,0.0075454004648246205,0.005,66
gamma,30,0.6,0.0033801193299034973,0.007345269401094201,0.005,67
gamma,30,0.6,0.003448261919036577,0.005749203108885074,0.005,68
gamma,30,0.6,0.0035563044914773026,0.006415206836777463,0.005,69
gamma,30,0.6,0.0030123035462138238,0.008291879689318202,0.005,70
gamma,30,0.6,0.0013904995828630806,0.005825144143432026,0.005,71
gamma,30,0.6,0.0019297634116435703,0.007886072007132193,0.005,72
gamma,30,0.6,0.0009982457613361805,0.005540613549371311,0.005,73
gamma,30,0.6,0.004609222675570824,0.008283325575199235,0.005,74
gamma,30,0.6,0.000594021379603138,0.00769465637138606,0.005,75
gamma,30,0.6,0.0004963961708492449,0.004165061120785812,0.005,76
gamma,30,0.6,0.00028264249190561584,0.006197929914446958,0.005,77
gamma,30,0.6,0.0014997886398204763,0.0063228189710429995,0.005,78
gamma,30,0.6,0.003306687238242345,0.007507415129159238,0.005,79
gamma,30,0.6,0.0016285281424889943,0.00796995446008473,0.005,80
gamma,30,0.6,0.0010776075287167064,0.006936189693815196,0.005,81
gamma,30,0.6,0.001368667092504472,0.006473865533103199,0.005,82
gamma,30,0.6,0.0017916859987800572,0.006214235708652998,0.005,83
gamma,30,0.6,0.0005840794890328294,0.01055457591173435,0.005,84
gamma,30,0.6,0.00014336616008172597,0.008894738648138951,0.005,85
gamma,30,0.6,0.0011689358065526624,0.004996564795467303,0.005,86
gamma,30,0.6,0.0015273812307007085,0.014772545623543347,0.005,87
gamma,30,0.6,0.0015164186924574885,0.007773916347981227,0.005,88
gamma,30,0.6,0.0038570775857471153,0.0072567415163039065,0.005,89
gamma,30,0.6,0.0007773353832623009,0.007518544923526886,0.005,90
gamma,30,0.6,0.005456862138950225,0.009339369923144481,0.005,91
gamma,30,0.6,0.0007546688148684755,0.005920944021865367,0.005,92
gamma,30,0.6,1.4509228403936092e-05,0.0030648184781460583,0.005,93
gamma,30,0.6,0.0012396970165677867,0.007059943951526786,0.005,94
gamma,30,0.6,0.0009908659370708507,0.009079226310827982,0.005,95
gamma,30,0.6,0.0008025990644838111,0.005337852952953057,0.005,96
gamma,30,0.6,0.0005696840424520123,0.005850815299972148,0.005,97
gamma,30,0.6,0.004507472875950436,0.008597679099746222,0.005,98
gamma,30,0.6,0.005041502475319293,0.00875227475725613,0.005,99
gamma,30,0.6,0.001807292271998451,0.010508561328991781,0.005,100
gamma,30,0.6,0.0021688328154344737,0.007309258844282595,0.005,101
gamma,30,0.6,0.0010076117783883287,0.007179323271596501,0.005,102
gamma,30,0.6,0.0001410496791176108,0.005776562752124305,0.005,103
gamma,30,0.6,0.004555895305374902,0.008742427707763865,0.005,104
gamma,30,0.6,0.0010249866620612115,0.004846052255996982,0.005,105
gamma,30,0.6,0.0017218768921228645,0.006746571505855884,0.005,106
gamma,30,0.6,0.0011477975278312957,0.0057238550646298856,0.005,107
gamma,30,0.6,0.003303414899673207,0.005826487926762094,0.005,108
gamma,30,0.6,0.0017185985664792014,0.009248701699214905,0.005,109
gamma,30,0.6,0.000266796366135047,0.007304849995793849,0.005,110
gamma,30,0.6,2.8296860615917298e-05,0.01641032626937002,0.005,111
gamma,30,0.6,0.004068161449868812,0.007243318457500893,0.005,112
gamma,30,0.6,0.0011608194423070818,0.0073565397162707515,0.005,113
gamma,30,0.6,0.004235373560148403,0.00823417052728864,0.005,114
gamma,30,0.6,0.004069230688885916,0.010885342434402864,0.005,115
gamma,30,0.6,0.004687494139240834,0.00923182055171175,0.005,116
gamma,30,0.6,0.0035971710957557693,0.009577711847255366,0.005,117
gamma,30,0.6,0.0033964195092215377,0.005760002653789458,0.005,118
gamma,30,0.6,0.0006573136111573064,0.006578801455496326,0.005,119
gamma,30,0.6,0.0004975979516039786,0.008230181915984259,0.005,120
gamma,30,0.6,0.0009388375654792559,0.008827223781946067,0.005,121
gamma,30,0.6,0.0003783341934386453,0.004514613690176263,0.005,122
gamma,30,0.6,0.0001788790681707564,0.010470329333815503,0.005,123
gamma,30,0.6,0.00037453138699410364,0.015808930713549486,0.005,124
gamma,30,0.6,0.0007055009875601925,0.007254258729293082,0.005,125
gamma,30,0.6,3.112985446511729e-05,0.010896070092395627,0.005,126
gamma,30,0.6,0.0038219313667424704,0.010722514353759814,0.005,127
gamma,30,0.6,0.0037176937414829417,0.006613443264728365,0.005,128
gamma,30,0.6,0.005144898655768993,0.009571550520941349,0.005,129
gamma,30,0.6,0.004666430266585664,0.008918567898148157,0.005,130
gamma,30,0.6,0.00152582285915841,0.007286911311322861,0.005,131
gamma,30,0.6,0.0006830345399748694,0.005319178830651333,0.005,132
gamma,30,0.6,0.0001782962424228707,0.015604987417843042,0.005,133
gamma,30,0.6,0.0047833224519334035,0.009337435137923749,0.005,134
gamma,30,0.6,0.0009108786010827874,0.004247906387144313,0.005,135
gamma,30,0.6,0.002311781480865882,0.007489702550754072,0.005,136
gamma,30,0.6,0.0007875144543444623,0.004797875884037305,0.005,137
gamma,30,0.6,0.003723012748122168,0.006289476012737225,0.005,138
gamma,30,0.6,0.0009542562777815178,0.005953559831635255,0.005,139
gamma,30,0.6,0.0030320394433072553,0.0063684630502475435,0.005,140
gamma,30,0.6,0.0011015848321328737,0.007655026381353347,0.005,141
gamma,30,0.6,0.004560778797681397,0.008354594714675947,0.005,142
gamma,30,0.6,0.00030318827202120425,0.006947153200491214,0.005,143
gamma,30,0.6,0.004171363735744826,0.008073783999518467,0.005,144
gamma,30,0.6,0.0016536545813631955,0.007492490435423671,0.005,145
gamma,30,0.6,0.002293372181773279,0.007607096658597419,0.005,146
gamma,30,0.6,0.0012340807703163925,0.005995386101502314,0.005,147
gamma,30,0.6,0.004310254212224152,0.0076626158007560485,0.005,148
gamma,30,0.6,0.0010725526240666472,0.02120155911456633,0.005,149
gamma,30,0.6,0.000692991522685249,0.007733617989491554,0.005,150
gamma,30,0.6,0.00044269396856280176,0.004479762316321825,0.005,151
gamma,30,0.6,0.001187668116517937,0.006108167901264106,0.005,152
gamma,30,0.6,0.002276850820698417,0.00910061976965429,0.005,153
gamma,30,0.6,0.0006983118595234484,0.0047161747013472685,0.005,154
gamma,30,0.6,0.0015351995867717073,0.006689726421009008,0.005,155
gamma,30,0.6,0.00012415791998847682,0.005216569096676661,0.005,156
